0	67	357	182	136	309	300	256	328	296	268	387	432	430	574	413	302	627	673	520	64
67	0	410	202	200	378	315	313	376	298	280	383	401	392	556	413	236	591	684	587	89
357	410	0	478	394	640	556	393	487	606	562	698	775	791	907	713	628	977	922	386	323
182	202	478	0	85	170	82	225	147	95	90	187	267	299	383	211	334	465	477	550	265
136	200	394	85	0	252	178	133	177	215	170	306	407	435	511	321	406	603	551	426	207
309	378	640	170	252	0	85	268	208	108	41	98	260	323	290	88	476	426	364	565	441
300	315	556	82	178	85	0	158	145	120	68	193	339	386	396	195	465	520	400	467	348
256	313	393	225	133	268	158	0	92	279	221	349	476	520	553	352	521	670	530	325	311
328	376	487	147	177	208	145	92	0	261	203	308	456	509	505	303	562	638	446	350	391
296	298	606	95	215	108	120	279	261	0	59	97	198	259	296	117	382	399	388	592	359
268	280	562	90	170	41	68	221	203	59	0	136	256	306	342	152	396	449	405	541	345
387	383	698	187	306	98	193	349	308	97	136	0	170	216	207	37	430	330	316	657	450
432	401	775	267	407	260	339	476	456	198	256	170	0	71	180	192	346	202	425	798	492
430	392	791	299	435	323	386	520	509	259	306	216	71	0	221	246	303	197	480	844	479
574	556	907	383	511	290	396	553	505	296	342	207	180	221	0	203	525	174	295	853	645
413	413	713	211	321	88	195	352	303	117	152	37	192	246	203	0	466	341	281	652	489
302	236	628	334	406	476	465	521	562	382	396	430	346	303	525	466	0	487	743	818	310
627	591	977	465	603	426	520	670	638	399	449	330	202	197	174	341	487	0	465	986	677
673	684	922	477	551	364	400	530	446	388	405	316	425	480	295	281	743	465	0	748	737
520	587	386	550	426	565	467	325	350	592	541	657	798	844	853	652	818	986	748	0	540
64	89	323	265	207	441	348	311	391	359	345	450	492	479	645	489	310	677	737	540	0
